n. intervista,intervistato,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,rough_edit,feedback_TODO,fine_edit,feedback_FGA,final_edit,tags,srt_starter,srt_clip,thumb
32,Melinda Gates,,Y,filantropia,15-Feb,,,,riprese,Rosso/giallo,,0,Filantropa/Philantropist (per Schmidt avevamo messo in inglese),,0,,,0,,,,,,,,,,,,
33,Vito Mancuso,,,religione,16-Feb,,,,riprese,Blu/verde,,0,Teologo,,0,,,0,,,,,,,,,,,,
33,Vito Mancuso,,,religione,16-Feb,,,,riprese,Magenta/ciano,,0,Teologo,,0,,,0,,,,,,,,,,,,
33,Vito Mancuso,,,religione,16-Feb,,,,riprese,Rosso/giallo,,0,Teologo,,0,,,0,,,,,,,,,,,,
34,Luciano Floridi,,,diritti,16-Feb,,,,riprese,Blu/verde,,0,Filosofo,,0,,,0,,,,,,,,,,,,
34,Luciano Floridi,,,diritti,16-Feb,,,,riprese,Magenta/ciano,,0,Filosofo,,0,,,0,,,,,,,,,,,,
34,Luciano Floridi,,,diritti,16-Feb,,,,riprese,Rosso/giallo,,0,Filosofo,,0,,,0,,,,,,,,,,,,
35,Fabiola Gianotti,Y,,la fisica,22-Mar,,,,intervista fissata,Blu/verde,,0,Direttrice del CERN,,0,,,0,,,,,,,,,,,,
35,Fabiola Gianotti,Y,,la fisica,22-Mar,,,,intervista fissata,Magenta/ciano,,0,Direttrice del CERN,,0,,,0,,,,,,,,,,,,
35,Fabiola Gianotti,Y,,la fisica,22-Mar,,,,intervista fissata,Rosso/giallo,,0,Direttrice del CERN,,0,,,0,,,,,,,,,,,,
36,Jovanotti,Y,,la musica,1-Mar,,,,intervista fissata,,,0,,,0,,,0,,,,,,,,,,,,
36,Jovanotti,Y,,la musica,1-Mar,,,,intervista fissata,,,0,,,0,,,0,,,,,,,,,,,,
36,Jovanotti,Y,,la musica,1-Mar,,,,intervista fissata,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,
